code,title,credit,description
EDPS 30300,Career And Life Planning Seminar,3.00,".  Students will complete a personal assessment of their values, skills personality traits, interests, life goals and life roles.  Students will also become familiar with tools integral to a successful job search, including networking, resume writing, job search correspondence, and interviewing.  Finally students will identify possible paths as they are guided through the process of integrating their knowledge of themselves with information they have gathered about the larger world of work.  Typically offered Fall Spring."
EDPS 32800,Teaching Students with Mild to Moderate Needs I,3.00 (2-3-3),".  Course focuses on evidence-based instructional methodologies for students with mild intervention needs, including learning strategy instruction, peer-assisted and other social learning strategies, behaviorally-based techniques, and specialized strategies for severe reading disabilities. Additional topics include universal design for learning, culturally responsive instruction, and data collection for progress monitoring."
EDPS 28500,Diversity And Education,3.00,".  This course integrates an understanding of diversity with principles of democratic education. Historical, Sociological, Cultural, Political philosophical, and Pedagogical Foundations of diversity are explored and related to issues of pedagogy in a pluralistic society. This course includes an experiential component. Typically offered Fall Spring Summer."
EDPS 27900,Field Experience In Early Childhood II,2.00,".  Supervised field experience in early learning environment, birth – grade 3. Early childhood candidates apply academic and early childhood classroom learning in professional practice with young children focusing on organizing and managing the learning environment to meet the needs of all children, including children with exceptionalities. Candidates complete weekly field experiences. Typically offered Spring."
EDPS 27701,Nurturing And Guiding The Young Child,2.00,. Explore the connection between developmental needs of young children and practices for guidance. Methods for management of Birth – Grade 3 early learning environments to promote young children’s executive function and pro-social behaviors. Typically offered Spring.
EDPS 27601,Young Children With Exceptional Needs,2.00,. Identification of young children’s exceptional needs. Study of various developmental challenges and characteristics with a focus on early intervention with resources and referrals. Strategies for adapting early care and education settings for all children and families to ensure education in inclusive settings. Use of the Division for Early Childhood of the Council of Exceptional Children guidelines. Typically offered Spring.
EDPS 27600,Young Children With Exceptional Needs,3.00,.  The identification of young children’s exceptional needs.  Study of various developmental challenges and characteristics with a focus on early intervention with resources and referrals.  Strategies for adapting early care and education settings for all children and families to ensure education in inclusive settings.  Use of the Division for Early Childhood of the Council of Exceptional Children guidelines. Typically offered Fall.
EDPS 27800,Field Experience In Early Childhood I,2.00,". Supervised field experience in early learning environment, birth – grade 3. Early childhood candidates apply academic and early childhood classroom learning in professional practice with young children focusing on planning and implementing developmentally appropriate instruction and assessment practices. Candidates complete weekly field experiences.  Typically offered Fall."
EDPS 27501,"Observation, Assessment And Documentation",2.00,". Methods of child study used to inform instruction and create positive learning environments to foster children’s development. Explore the purpose and value of developmentally appropriate assessment tools, examine the use of systematic observations, documentation, and other effective assessment strategies. Typically offered Fall."
EDPS 27500,"Observation, Assessment And Documentation",3.00,".  The focus of this course is on the methods and tools used for child study to create positive learning environments that foster children’s development.  Students explore the purpose and value of assessment, examine and apply the use of systematic observations, documentation, and other effective assessment strategies.  Includes an in-depth case study. Typically offered Spring."
EDPS 23601,Developmental Theory & Practice in Early Childhood Education,2.00,". Exploration of child development theories as they relate to early childhood education, birth to grade 3. Overview of curriculum and instruction planning in early childhood learning environments. Study of developmentally appropriate practices in all domains and practical applications in group settings, including implications of multicultural perspectives for infants/toddler, preprimary and primary age children. Typically offered Fall."
EDPS 26000,Introduction To Special Education,3.00,".  A survey of the field of special education: foundations, areas of exceptionality, teaching strategies, and current issues and trends. Typically offered Fall Spring Summer."
EDPS 26500,The Inclusive Classroom,3.00,".  Characteristics of students with special needs/talents; strategies for helping students learn and develop in general educational settings. Emphasis placed upon research evidence, case studies, problem-based learning, and development of a plan for an inclusive classroom. A field-based component is included. Typically offered Spring Summer Fall."
EDPS 23500,Learning And Motivation,2.00 or 3,".00.  Introduction to concepts of learning and motivation in educational contexts (i.e., Educational Psychology).  Influence of development, culture, and individual differences on learning and motivation. Uses of assessment and technology in promoting learning and motivation. A field-based experiential component is included. Typically offered Fall Spring Summer."
EDPS 23600,Developmental Theory And Practice In Early Childhood Education,3.00,".  This course will explore the theories of child development as they relate to early childhood education.  An overview of theoretical perspectives on the developing child will serve as a foundation for examining current practices in early childhood education settings from birth through age eight.  There will be a focus on child study (observation and assessments in diverse settings).  Child development in all domains and its connections to practical applications in group settings will be studied.  Implications of multicultural perspectives for infants/toddler, preprimary and primary age children will be addressed. Typically offered Fall."
EDPS 10300,Introduction To Higher Education,3.00,".  This course is designed to assist and guide students in maximizing their potential for success at the university by promoting academic growth. Through collaborative learning, this course will promote the concept of life-long learning through the use of the following strategies: utilization of campus resources; goal setting; time management; diversity training; values exploration; career exploration; and critical thinking skills. This course is highly recommended for all freshman. Typically offered Fall Spring Summer."
EDPS 22000,Psychology Of Learning,3.00,".  An examination of the learner and learning. Study of the cognitive, social, physical, moral and personality development from early childhood through adolescence; implications of developmental stages for educational planning and intervention. Principles of basic learning theories, facilitative conditions and strategies for enhancing learning; classroom management as a means to foster the learner’s development and learning. Survey techniques for assessing the learner, learning and identification of learning dysfunctions. Typically offered Fall Spring Summer."
EDCI 69800,Research MS Thesis,1.00 to 18,.00.  Research MS Thesis. Permission of instructor required. Typically offered Fall Spring Summer.
EDCI 66300,Interactive Multimedia,3.00,". Examines computer-based interactive multimedia theory, research, design, development, and evaluation. Includes a digital audio-video production and design of interactive multimedia for stand-alone or online delivery. Prerequisite: EDCI 56100, 57200. Typically offered Fall Spring Summer."
EDCI 69500,Internship In Education,1.00 to 10,".00.  Amount of credit to be determined by nature and extent of the assignment. A special course in selected areas of education, designed to provide practical field experience under professional supervision in selected situations related to the candidate’s area of specialization. Permission of instructor required. Typically offered Fall Spring Summer."
EDCI 64800,Curriculum In Career And Technical Education,3.00,".  Overview of curriculum in career and technical education programs; business and industry training programs; curriculum planning, development, implementation, and evaluation; review and analysis of curriculum models. Typically offered Fall Spring."
EDCI 67200,Advanced Practices In Learning Systems Design,3.00,". Applications of learning systems design to educational situations. In-depth treatment of learner analysis, task analysis, learning activities design, learner verification and summative evaluation. Focuses on the application of instructional design concepts and principles within authentic ID situations. Prerequisite:  EDCI 57200. Typically offered Fall Spring Summer."
EDCI 62400,Seminar In Social Studies Education,3.00,.  An investigation of various aspects of the teaching of the social studies. One topic is dealt with in each enrollment. Master’s candidates are expected to complete the first three topics. Areas include: (1) philosophic concepts used in the social studies; (2) curricular analysis and examination of new social studies materials; (3) methods of inquiry in the social studies; (4) research methodology in the social studies. Typically offered Fall Spring Summer.
EDCI 64900,Assessment In Career And Technical Education,3.00,".  Goals and rationale for evaluation in education and work training contexts; assessment and measurement methods, techniques, and procedures; reliability, validity, and accuracy; construction and selection of instruments; data and information collection, analysis, and interpretation; meta evaluation; adaptations and modifications for special needs populations; and using assessment data and information.  Typically offered Fall Spring."
EDCI 60800,Individualizing Instruction In The Elementary And Secondary Schools,3.00,".  This course explores the foundations underlying individualized instruction, the preparation of individualized instruction materials for the class-room, the role of research in individualized instruction, and the future trends and issues in individualized instruction. Completion of a teacher certification program. Typically offered Summer Fall."
EDCI 61300,Seminar In The English Language Arts,3.00,".  (ENGL 69100)  Problems in the teaching of English: literature, language, rhetoric. Attention to recent scholarship and to its application in the public schools.  Typically offered Fall Spring."
EDCI 61200,Seminar In Literacy,3.00,.  Recent trends and research in literacy. Topics provide in-depth study of literacy acquisition in educational settings.  Typically offered Fall.
EDCI 60100,Problems In Literacy Acquisition: Advanced Practicum,3.00,".  Examines strategies for teaching elementary and secondary students who experience moderate to severe difficulties acquiring reading, writing, and other aspects of language. Supervised practicum. Prerequisite:  EDCI 50000, 50100. Permission of instructor required. Typically offered Fall Spring Summer."
EDCI 60500,"Teaching Integrated Science, Technology, Engineering And Math",3.00,".  Analysis of historical developments and present trends in science education; the designing, implementation, and evaluation of science programs; the role of research in present and future developments. Typically offered Fall Spring Summer."
EDCI 60400,Social Studies In The Elementary School,3.00,".  Social Studies-content and place in the modern elementary education curriculum. Materials, instruction techniques, evaluation procedures, and understanding the syntax of the structure of social studies.  Prerequisite:  EDCI 36100. Typically offered Fall Spring Summer."
EDCI 59100,Special Topics In Education,1.00 to 4,".00.  Group study of a current problem or special topic of interest to professional educational personnel. Intensive study of research, theory, or practical aspects of a particular issue within the usual graduate class format. Typically offered Fall Spring Summer."
EDCI 58900,Special Topics For Teachers,1.00 to 4,.00.  Consideration of appropriate professional problems of experienced educational personnel in workshops or in-service programs. Typically offered Fall Spring Summer.
EDCI 59000,Individual Research Problems,1.00 to 6,.00.  Opportunities for students to study particular problems under the guidance of a member of the This plan of individualized instruction may be used in any field of education or vocational education. Does not include thesis work. Permission of instructor required. Typically offered Fall Spring Summer.
EDCI 58500,Multicultural Education,3.00,".  The course aims to develop understanding of multicultural education as an on-going reform process that addresses social justice issues through an examination of race, class, gender, ethnicity, language, sexual orientation, etc. Typically offered Fall Spring Summer."
EDCI 58700,Leadership And Management In Educational Technology,3.00,". This course addresses the fundamentals of leadership and management of educational technology in a K-12 setting. Students will explore and evaluate computer hardware, software, networks, and lab management, including how they fit into education. This course is designed to provide prospectives on organizational leadership of educational technology, as well as providing future teachers with the ability to troubleshoot basic problems often associated with computers and software in the classroom. Typically offered Fall Spring Summer."
EDCI 58000,Foundations Of Curriculum,3.00,.  Introduction to the major historical and philosophical sources of curriculum ideas. Significant forces influencing curriculum decision making. Different theoretical approaches to the construction and analysis of curriculum. Typically offered Fall.
EDCI 49100,Topics And Issues In Education,1.00 - 4,".00. Provides student with opportunity to strengthen preparation through study of selected educational topics and issues based upon individual needs and interests. One area of study is considered in each enrollment.  Permission of school/program required.
Typically offered Fall Spring Summer."
EDCI 49000,Individual Research And Teaching Experience,3.00,". Opportunity for undergraduate students to investigate particular problems in the field of education. Permission of the school/program required.
Typically offered Fall Spring Summer."
EDCI 49500,Student Teaching In The Secondary Classroom,12.00,".  For the B.S. in Secondary Education, students would be receiving the license in Adolescence and Young Adulthood as well as their Content Area.  Therefore, students would complete their student teaching experience in a secondary classroom in their major content area.  In the case of dual content areas, the student teaching would take place for eight weeks in one content area and eight weeks in the other.  This would partially fulfill the requirements for the secondary teaching license.  Typically offered Fall Spring."
EDCI 47000,Practicum And Seminar In Early Childhood Programs,6.00,".  This course is the equivalent of a student teaching experience - the capstone early childhood course.  Structured so that candidates have experiences in a setting birth to age eight, with a focus on infants/toddlers and preschoolers.  The practical experience is complemented with a seminar that focuses on the issues of guidance and discipline, cultural diversity, and the early childhood profession. Typically offered Spring."
EDCI 46500,Assessment In The Elementary School,3.00,".  This course will introduce teacher candidates to both formative an d summative assessments, emphasizing a variety of standardized tests currently used in K-6 settings.  Candidates will learn how to interpret test data to inform their planning and instruction, and help them determine the effectiveness of their instruction.  This course also requires students to understand how to create effective assessments and understand purposes for their use.  Typically offered Fall Spring."
EDCI 42500,Teaching Of Mathematics In Secondary Schools,2.00 or 3,".00.  This course is designed for students who are planning to be secondary mathematics teachers in the twenty-first century. The course content is organized around tools and tasks for teaching secondary mathematics content, theories of teaching and learning mathematics, and organizing for classroom instruction. Must have completed at least 18 credit hours of Mathematics previous to this course. No undergraduate students may be enrolled in any of these undergraduate courses until they have been admitted to teacher education. Typically offered Fall Spring."
EDCI 41000,Professional Year Early Childhood Special Education Practicum,3.00,".  Provides a structured field-based experience for candidates to apply theory to practice in special education early childhood settings. Particular emphasis is placed on pedagogy, philosophy and professional development."
EDCI 37401,Science And Math In Kindergarten And Primary Grades,4.00,".  Explores methods and materials for inquiry in the content areas of science including physical, life, earth and space. Explores methods and materials for fostering conceptual development in the areas of mathematics including number, geometry, measurement, statistics and probability, and algebraic reasoning. Focus on the process of inquiry and problem-solving to construct knowledge. Typically offered Fall."
EDCI 37400,Science And Math In Kindergarten And Primary Grades,3.00,".  Explores methods and materials for inquiry in the content areas of science including physical, life, earth and space.  Explores methods and materials for fostering conceptual development in the areas of mathematics including number, geometry, measurement, statistics and probability, and algebraic reasoning.  Focus on the process of inquiry and problem-solving to construct knowledge. Typically offered Summer Fall Spring."
EDCI 41100,Professional Year Special Education Practicum,3.00,".  Provides a structured field-based experience for candidates to apply theory to practice in special education. Particular emphasis is placed on pedagogy, philosophy and professional development."
EDCI 37301,Expressive Arts/Social Studies In Kindergarten And Primary Grades,4.00,".  Explores the concepts and modes of inquiry from the social studies including history, geography, social sciences and related areas to foster kindergarten and primary children’s understanding. Focus on the integration of curriculum including the arts as a means of communication and inquiry. Examines methods and materials for presenting the content. Typically offered Fall."
EDCI 37300,Expressive Arts/Social Studies In Kindergarten And Primary Grades,3.00,".  Explores the concepts and modes of inquiry from the social studies including history, geography, social sciences and related areas to foster kindergarten and primary children’s understanding.  Focus on the integration of curriculum including the arts as a means of communication and inquiry.  Examines methods and materials for presenting the content. Typically offered Summer Fall Spring."
EDCI 37200,Integrated Curriculum In Early Childhood: Cognitive Domains,3.00,".  This course explores methods focused on teaching and learning, curriculum, and assessment in the areas of mathematics, science, social studies, health, and nutrition.  Examines developmentally appropriate practices, strategies for meeting the needs of diverse learners’ cognitive development, including the role of the “more competent other” in facilitating experiential learning.  A field experience in an early childhood setting is required. Typically offered Fall Spring."
EDCI 37201,Integrated Curriculum In Early Childhood: Cognitive Domains,4.00,".  This course explores methods focused on teaching and learning, curriculum, and assessment in the areas of mathematics, science, social studies, health, and nutrition. Examines developmentally appropriate practices, strategies for meeting the needs of diverse learners’ cognitive development, including the role of the “more competent other” in facilitating experiential learning. A field experience in an early childhood setting is required. Typically offered Fall."
EDCI 37101,Integrated Curriculum In Early Childhood: Creative And Affective Domains,4.00,".  This course will present methods focusing on teaching and learning, curriculum, and assessment in the areas of art, play, physical education/movement, music, drama, and social-emotional development. Focus will be on the integrative nature of the early childhood classroom addressing social-emotional development, creativity, and the learning environment. Students are required to complete a field study in a diverse early childhood setting. Typically offered Fall."
EDCI 37100,Integrated Curriculum In Early Childhood: Creative And Affective Domains,3.00,".  This course will present methods focusing on teaching and learning, curriculum, and assessment in the areas of art, play, physical education/movement, music, drama, and social-emotional development.  Focus will be on the integrative nature of the early childhood classroom addressing social-emotional development, creativity, and the learning environment.  Students are required to complete a field study in a diverse early childhood setting. Typically offered Fall Spring."
EDCI 36600,Use Of Assessment In The K-12 Classroom,3.00,.  This course will acquaint students with standardized tests currently in use in K-12 settings such as ISTEP and interpretation of test data to inform planning and instruction.  In addition this course will address use of standardized tests to identify and develop education programming for students with special needs. Typically offered Summer Fall Spring.
EDCI 36800,Literacy Intervention Strategies For Diverse Learners,4.00,.  Focuses on teaching children who experience difficulty acquiring literacy skills. Assessments of children’s strengths and needs are used to inform and plan instruction. Strategies for helping children develop more mature literacy understandings are applied in weekly individual or small-group instructional sessions. Includes a field-based experiential component. Typically offered Fall Spring Summer.
EDCI 36300,Literacy In The Elementary School II,3.00,.  Focuses on teaching children who experience difficulty acquiring literacy. Assessments of children’s strengths and needs are used to plan and evaluate instruction. Strategies for helping children develop more mature literacy understandings are applied in weekly small-group instructional sessions. Includes a field-based experiential component. Typically offered Fall Spring.
EDCI 36500,Science In The Elementary School,3.00,".  Investigates ways children learn science as a basis for planning, enacting, and assessing science curriculum and instruction. State and national standards, teaching cases, and science lab experiences are used as tools for reflecting on practice. Includes a field-based experiential component. Taken concurrently with EDCI 36400."
EDCI 36400,Mathematics In The Elementary School,3.00,".  Focuses on teaching mathematics in the elementary school. Students learn what it means to teach mathematics when reasoning, problem solving, communication, and connections are the foci. Includes a field-based experiential component. Typically offered Fall Spring."
EDCI 36204,Literacy Instruction In 4-6 Classrooms,4.00,".  Candidates will learn about theories of literacy as they relate to the content areas they will teach, emphasizing a “reading to learn” approach through inquiry-based instruction in the intermediate grades, 4-6. Typically offered Fall Spring Summer."
EDCI 36203,Literacy Instruction In K-3 Classrooms,4.00,". Candidates will learn about theories of language and literacy development as related to the research and practice of a balanced approach to literacy instruction in the primary grades, K-3.  Typically offered Spring."
EDCI 36100,Social Studies In The Elementary School,3.00,".  Provides students with an overview of the field of social studies, of selected issues in the field, and of best practice strategies for teaching social studies to elementary school children. Encourages participants to reflect on social studies knowledge, skills and dispositions, how students learn these most effectively, and how best to teach social studies. Includes a field-based experiential component. No undergraduate students may be enrolled in any of these undergraduate courses until they have been admitted to teacher education. Typically offered Summer Fall Spring."
EDCI 36201,Literacy Instruction In K-3 Classrooms,3.00,". Candidates will learn about theories of language and literacy development as related to the research and practice of a balanced approach to literacy instruction in the primary grades, K-3.  Typically offered Fall Spring."
EDCI 36202,Literacy Instruction In 4-6 Classrooms,3.00,".  Elementary Teacher Education Candidates will learn about theories of literacy as they relate to the content areas they will teach, emphasizing a reading to learn approach through inquiry-based instruction in the intermediate grades, 4-6.  Typically offered Fall Spring."
EDCI 35501,Teaching And Learning K-12 Classroom,3.00,".  Acquaints students with general methods of promoting the learning process in P-12 settings. Topics studied will include long-term and short-term instructional planning and evaluation; classroom organization including management, motivation of students, the use of media to promote instructional objectives; and individual and group learning procedures.  Students will also study how curriculum goals are adapted and implemented. Typically offered Fall Spring Summer"
EDCI 35500,Teaching And Learning K-12 Classroom,4.00,".  Acquaints students with general methods of promoting the learning process in the K-12 secondary school. Topics studied will include long-term and short-term instructional planning and evaluation; classroom organization including management, motivation of students, the use of media to promote instructional objectives; and individual and group learning procedures. Students will also study how curriculum goals are adapted and implemented in the secondary classroom. Typically offered Fall Spring Summer."
EDCI 34700,"Strategies Of Social Studies Instruction In Senior High, Junior High And Middle Schools",4.00,".  Acquaints students with developmentally appropriate content, materials, methods and literature relating to the social studies field generally and the intense teaching areas particularly. Includes an overview of the role of the high school, junior high and middle school social teacher today, the high school, junior high and middle school philosophy, use of technology, and planning of instructional units. Field experiences are integrated with classroom instruction. Typically offered Fall Spring."
EDCI 34600,"Strategies Of Science Instruction In Senior High, Junior High And Middle Schools",4.00,".  Acquaints students with developmentally appropriate content, materials, and methods in teaching science in the high school, junior high and middle school (includes life and physical sciences). Includes an overview of the role of the high school, junior high and middle school science teacher today, the high school, junior high and middle school philosophy, use of technology, and planning of instructional units. Field experiences are integrated with classroom instruction. Typically offered Fall Spring."
EDCI 34400,"Strategies Of Mathematics Instruction In Senior High, Junior High And Middle Schools",4.00,".  Acquaints students with developmentally appropriate content, materials, and methods for teaching mathematics in the high school, junior high and middle school. Includes an overview of the role of the high school, junior high and middle school math teacher today, the high school, junior high and middle school philosophy, use of technology, and planning of instructional units are included. Field experiences are integrated with classroom instruction. Typically offered Fall."
EDCI 34200,"Strategies Of Foreign Language Instruction In Senior High, Junior High And Middle Schools",4.00,".  Acquaints students with developmentally appropriate content, methods, and materials for teaching high school, junior high, and middle school foreign language and culture. Comparative studies of various teaching methods, analysis of current foreign language textbooks and accompanying materials, use of technology, and planning of instructional units are included.  Field experiences are integrated with classroom instruction. Typically offered Fall."
EDCI 34100,"English Teaching In Senior High, Junior High And Middle Schools",4.00,".  Acquaints students with developmentally appropriate content, methods, and materials for teaching high school, junior high and middle school English. Includes an overview of the role of the high school, junior high, and middle school English teacher today, the high school, junior high, and middle school philosophy, the use of technology, and planning of instructional units. Field experiences are integrated with classroom instruction. Typically offered Fall Spring."
EDCI 32300,Educational Technology For Teaching And Learning,3.00,. Explores classroom applications of educational technology in K-12 settings and addresses methods for effectively integrating technology into the teaching and learning process. Knowledge in this area can be gained through an understanding of the social stimulants to technological developments and their effects on society. Students will learn about technology-based instructional resources and the pedagogical processes they can facilitate. Typically offered Fall Spring Summer.
EDCI 32200,English For New Language Learners,3.00,".  This is a teacher education course that focuses on English as a New Language (ENL) key terms, issues, curriculum development, and instruction for students (PreK-12) in a variety of language and program settings.  The course will emphasize language acquisition and the practice of integrating language and content instruction for students with English as a New Language. Typically offered Fall Spring."
EDCI 28500,Multiculturalism And Education,2.00 to 3,".00.  This course integrates an understanding of multiculturalism with principles of democratic education. Historical, sociological, cultural, political, philosophical, and pedagogical foundations of multiculturalism are explored and related to issues of pedagogy in a pluralistic society.  Typically offered Fall Spring Summer."
EDCI 32100,Literacy And The Young Child,4.00,".  Explores aspects of child development and its relevance to literacy, including early and middle childhood developmental influences.  This course examines methods and materials appropriate for grades 3-6.  Topics will include the instruction and assessment of students. Typically offered Fall Spring Summer."
EDCI 27600,"Child, Family, School And Community Partnerships",3.00,".  Examines the life of the young child within the context of family, community, and cultural systems.  Explores the issues and characteristics of diversity within families and communities.  Students develop strategies for fostering positive family/teacher/provider-child relationships.  Students will gain exposure to community early childhood resources through a service learning component. Typically offered Spring."
EDCI 28600,Multiculturalism In Secondary Schools,3.00,". This is an introductory course of multiculturalism with principles of democratic education and social justice at the secondary level. A variety of theorists and perspectives on issues pertaining to multicultural education are discussed. Class activities and assigned readings focus on the examination of sociopolitical, cultural, and economic conditions that influence teaching and learning in secondary schools. Typically offered Fall Spring Summer."
EDCI 27300,"Health, Safety And Nutrition For Young Children",3.00,".  Explores the health and safety needs of young children as incorporated in early childhood settings.  Examines the connection between proper nutrition, health and child development.  Introduction to the community resources available for promoting healthy development.  Presents methods and materials for sharing health, safety and nutrition information with children and families. Typically offered Spring."
EDCI 23000,Academic Language In Education,3.00,".  This course addresses the academic language needed by teachers in school settings. It focuses on the use of discipline-specific vocabulary, grammar and punctuation, and applications of rhetorical conventions and devices that are typical for a content area (e.g., essays, written and oral presentations, discussions of issues) and how they are taught in schools. Typically offered Fall Spring Summer."
EDCI 23500,"Indiana History, Geography And Economics For Educators",3.00,".  Major developments and significant events and perspectives in Indiana history are introduced. Emphasis is on major concepts and skills related to Indiana history, geography and economics. Typically offered Fall Spring Summer."
EDCI 27000,Introduction To Educational Technology And Computing,1.00 to 3,".00.  Addresses fundamentals of educational technology, including the integration of instructional design, media, computers and related technologies within the classroom setting. Typically offered Fall Spring Summer."
EDCI 20500,Exploring Teaching As A Career,2.00 to 3,".00.  Students will become familiar with the work of teachers and begin to develop their educational philosophies through examining what it means to teach and to learn and the nature and purpose of schools. Students will critically evaluate teaching as their chosen profession.   This course includes a required weekly field-based experience in an elementary, middle, or high school classroom.   Typically offered Fall Spring."
ECON 55300,Economic And Social Analysis,3.00,".  This course covers: (1) regional growth, development, and change; (2) input-output analysis; (3) benefit/cost analysis; (4) social issues and change; and (5) creating a regional strategy. Topic (1) provides an overview of the recent literature of regional growth and development. Topic (2) provides students with hands-on experience in using the IMPLAN economic model for a county or region of their choice. The model is particularly useful in evaluating the economic impacts (direct, indirect, and induced) of new developments on a region. Topic (3) provides students with techniques to evaluate the economic benefits and costs of proposed initiatives. Topic (4) introduces students to an analysis of social issues that have implications for and interactions with the practice of economic development. Topic (5) is directed at developing an integrated economic development strategy.  Typically offered Fall Spring Summer."
ECON 55100,Competitive Advantage Of A Region,3.00,".  This course applies the theory of competitive advantage, advanced by Michael Porter (The Competitive Advantage of Nations) to a region. Examines factors associated with superior economic growth relative to peer regions. One focus of the course is Northern Indiana and factors of potential competitive advantage, including multiple carriers for intercontinental rail service, proximity to major manufacturing, and strength in support services important to new product development. Students will analyze economic growth of an Indiana county and compare this to peer counties, and use principles of comparative advantage to understand resultant outcome difference in growth performance.  Typically offered Fall Spring Summer."
ECON 59000,Problems In Economics,1.00 to 4,.00.  Open only to a limited number of seniors and graduate students. Arrange with instructor before enrolling. Supervised reading and reports in various subjects. Permission of instructor required. Typically offered Fall Spring Summer.
ECON 55200,Introduction To Economic Development,3.00,".  This course provides an introduction to the economic development process carried out by local governments, chambers of commerce, not-for-profit organizations and utility companies. It examines economic development organization structure, community-based economic development programs, relationships between chambers of commerce and government and others in delivering programs that expand jobs and investment in existing businesses and attract new business. There is an emphasis on the roles of professional staff, community volunteer representatives and team work in the conduct of community economic development programs. Interpretation of economic and statistical data and in working within community-based economic development teams is covered.  Typically offered Fall Spring Summer."
ECON 53400,International Trade Theory,2.00 or 3,".00.  Problems of the international economy addressed in the light of economic theory. Emphasis is on real, as opposed to monetary, topics. Topics may include trade barriers, multinational corporations, technology transfer, the European economic community, economic constraints on the sovereignty of nation-states. Typically offered Fall."
ECON 51500,Macroeconomics,2.00 or 3,".00.  Investigation of the causes of macroeconomic fluctuations in the economy. Looks at changes in inflation, unemployment, real output, interest rates, and exchange rates, and explores why they occur, what their effects are, and what, if any, role government should play in dealing with these problems. A mixture of theory and case studies with reference to historical case studies. Current macroeconomic problems will be discussed with a focus on the international aspects of macroeconomic problems. Typically offered Fall Spring."
ECON 49800,Undergraduate Research In Economics,3.00,".  Conduct, report and disseminate original research on topics and issues in economic-related fields. Junior standing and at least nine (9) credit hours in ECON courses 30000 level or above with a min. grade of C or better required prior to taking this course.  Typically offered Fall Spring Summer."
ECON 51300,Economic Theory,3.00 or 4,".00 (West Lafayette, Calumet)  3.00 (North Central)  Theoretical analysis of a market economy with an emphasis on decision processes of managers. Consideration is given to micro aspects of price determination, utilization of resources and market organization, and to aggregative concepts of national income and employment. Typically offered Spring Fall."
ECON 49000,Problems In Economics,1.00 to 4,.00.  Arrange with instructor before enrolling. Supervised reading and reports in various subjects. Open only to a limited number of seniors with superior records in previous courses. Permission of instructor required. Typically offered Fall Spring Summer.
ECON 51110,Foundations Of Economics And Finance,1.00 to 3,".00. This course provides an introductory examination of the elements of economics and finance routinely utilized for managerial decision making. An overview of the micro/macro economy is presented, focusing on supply and demand, production costs and market structures, role of the government, Federal Reserve, and fiscal and monetary policy in the economy. The course also covers general financial decision making as relates to time value, capital budgeting, cost of capital and capital structure, and working capital management. Typically offered Fall Spring Summer."
ECON 46700,Economics And The Law,3.00,".  This course is a study of the economic consequences of law.  The focus is on the impact of laws on the efficient use of resources in a society. The relevant microeconomic theory underlying social decision making will be examined.  The economic foundations of property rights and contract law will be examined, including issues of risk allocation and liability associated with tort law. Typically offered Fall Spring."
ECON 46500,Economic Forecasting Techniques,3.00,.  A course examining the statistical techniques of forecasting. Emphasis is placed on economic time series data and computer based methods of estimating and testing.
ECON 46100,Industrial Organization,3.00,".  This course examines the determinants of firm and market structure and the resulting market performance in imperfectly-competitive markets. Advanced topics include advertising, research and development, imperfectly competitive international markets, and market integration. Emphasis is placed on using theoretical models of firm and industry behavior to explain and analyze real-world examples of firm behavior. Typically offered Fall."
ECON 46200,The Economics Of Health Care,3.00,".  The course analyzes economic forces that shape the health care industry. Course content includes the market structure of the health care industry, public and private health care delivery systems, reimbursement methods for services, and the labor market for health care workers. Typically offered Fall Spring."
EDFA 51600,School-Community Relations,3.00,.  (EDST 51600) This course will stress concepts and principles relevant to school-community interaction. It will focus on the new roles of the public in education and will deal with problems encountered by educators in communicating with the public. Typically offered Fall.
EDFA 51200,Foundations Of Educational Administration,3.00,".  (EDST 51200) An examination of the relationship between policy, values, and social change in education, including the roles of local, state, and federal government in educational policymaking and the effects of educational policies on societal issues such as equity, cultural diversity, and opportunity. Typically offered Fall Spring Summer."
EDFA 51300,Educational Facilities Planning,3.00,.  (EDST 51300) Systems approach as a basis for school facilities planning. Study directed toward procedures for solving facilities problems. Emphasis on techniques for developing and securing technical information. Typically offered Fall Spring Summer.
FIS 41000,Professional Practice In Forensic Science,3.00,".  This course will bring together the ethical, legal and scientific elements that the student has learned through their previous forensic studies and learn how these elements apply in professional situations. The student will understand how a scientific expert can and cannot present their opinions and findings to the legal system. The student will learn about the roles professional organizations that exist in the forensic industry and how their guidelines become established. Typically offered Fall Spring Summer."
EDFA 49000,Individual Research And Teaching Experience,1.00 to 8,.00.  Opportunity for undergraduate students to investigate particular problems in the field of education under supervision. Typically offered Fall Spring Summer.
FIS 35000,Courtroom Demeanor,3.00,".  This course explores the application of various laws and rules of evidence to the forensic sciences, and examines how the admission and persuasive use of evidence derived from the forensic sciences impacts the administration of justice in the United States. The student will learn of the expert witness in legal matters and the expectations of courtroom behavior. Typically offered Spring."
EDFA 49100,Topics And Issues In Education,1.00,.  Provides the student with the opportunity to strengthen the preparation program though the study of selected educational topics and issues based on individual needs and interests. One topic is dealt with in each enrollment. Typically offered Fall Spring Summer.
